"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Index","Economics","Education","Gender","Politics","Safety","SRH","Economics_Achievement","Economics_Agency","Economics_Resource","Education_Achievement","Education_Agency","Education_Resource","Gender_Achievement","Gender_Agency","Gender_Resource","Politics_Achievement","Politics_Agency","Politics_Resource","Safety_Achievement","Safety_Agency","Safety_Resource","SRH_Achievement","SRH_Agency","SRH_Resource","Indicator_N"
"Cameroon",120,"CMR","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.499828104557252,0.618413348879418,0.273229956004349,0.667788485824618,0.454182668089563,0.572885360380853,0.531104103784548,0.545817592188322,0.722104568003602,0.587317888301571,0.1601381,0.556201765272352,0.103350003560384,0.536826923076923,0.546,0.920538536400296,0.074,0.530611497694728,0.757936507936508,0.949573142009107,0.379082940852109,0.39,0.634000074366,0.260088814435657,0.699223424145299,34
"Canada",124,"CAN","Northern America","Europe and Northern America","Non-UNFPA Country",0.701206884217423,0.857072814461623,0.804660205560646,0.881069701263899,0.363509846678568,0.827411027937729,0.650427705815469,0.627067846900237,1,0.944150599055849,0.857,1,0.556980619095919,0.878209106434905,0.765,1,0.179283684441519,0.677412900425288,0.233832956259427,0.925781514080261,0.796451572215158,0.76,0.979344245154188,0.267308036331415,0.704630837912088,21
"Cabo Verde",132,"CPV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.594521428589301,0.691398729223792,0.514572590420384,0.712596177071821,0.438145994995397,0.681983089152078,0.582899804956623,0.570550925496922,0.966538633115383,0.537106631133267,0.264980167392068,0.877674357096354,0.401063248316447,0.630252371466896,0.635666666666667,0.871869495219688,0,0.530611497694728,0.7838264886059,0.876866328650074,0.379082940852109,0.79,0.852256745311511,0.240909488915724,0.655533182391332,15
"Central African Republic",140,"CAF","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.405548133916861,0.556303128422243,0.225872465858841,0.557802600897042,0.352619559825508,0.450063067946274,0.39996255934151,0.369511106573956,0.906292625199231,0.39310565516245,0.0693784,0.0792819976806645,0.528957000573476,0.361502371466896,0.458,0.853905432897637,0.0635719691644407,0.530611497694728,0.463675213675214,0.751106264336901,0.379082940852109,0.22,0.488586802498949,0.119634210058801,0.591666666666667,29
"Sri Lanka",144,"LKA","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.657313162460645,0.752387835560822,0.607173422095701,0.822330510883238,0.493486971645604,0.667089600654543,0.652188579249041,0.586680087387891,1,0.670483421551739,0.2503406,1,0.571179668108622,0.752991535116705,0.714,1,0.0688860267919865,0.620976599026996,0.790598290598291,0.877319631261056,0.503949172703842,0.62,0.954688555129949,0.203504168700725,0.798373015873016,28
"Chad",148,"TCD","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.327431897174512,0.502509414004141,0.0981448407347139,0.556628360127951,0.226253215054705,0.501776934881729,0.395406174329456,0.394550925672922,0.743624717786273,0.369352600060755,0.0980743,0.117278226216634,0.0790819962819417,0.418173076923077,0.728,0.523712005130663,0,0.530611497694728,0.148148148148148,0.916247865298408,0.379082940852109,0.21,0.383081818868223,0.0861922608619205,0.716944444444444,34
"Chile",152,"CHL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.683138540781034,0.821485578188794,0.781888160858653,0.834532943388066,0.512847876086597,0.605026893003262,0.611084713703053,0.612991582326747,1,0.85146515470409,0.8575,1,0.488164484921624,0.669598832667798,0.834,1,0.559333333333333,0.221174736346108,0.758035560118893,0.910766141338743,0.274314539486124,0.63,0.917478549807159,0.296598714390362,0.619176878744893,25
"China",156,"CHN","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.561621421851453,0.822180105516213,0.680333780413688,0.811891068179355,0.15083745812538,0.696116095116793,0.658088565184541,0.61349336431267,1,0.853046954702509,0.6087,0.868593343098959,0.563708000183105,0.778839873640404,0.656833333333333,1,0.147551434756124,0.108156587018177,0.196804353054353,0.972049445297292,0.536298842141435,0.58,0.969119569799299,0.292265667139796,0.712880460588794,23
"China, Taiwan Province of China",158,"TWN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.663622346931281,0.815293741433152,0.680643605203531,0.873279957006855,0.373050084068286,0.71843930477389,0.657629697198206,0.614023741638956,1,0.831857485106381,0.599863627246118,0.874530356722757,0.56753683368365,0.778839873640404,0.841,1,0.147551434756124,0.274794465513532,0.696804353054353,0.952458754370743,0.575359162106246,0.6275,0.966354076950028,0.292265667139796,0.714269349477683,11
"Colombia",170,"COL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.680689103106556,0.779820488437039,0.789902442142226,0.817455127387673,0.634453483983415,0.464848467163987,0.669806841749808,0.583349314485144,0.893791120694421,0.862321032471012,0.7195,1,0.650207328796387,0.658365384615385,0.794,1,0.484666666666667,0.59041095890411,0.828282828282828,0.527696087818012,0.406849315068493,0.46,0.85952372079265,0.328987715557102,0.820909090909091,40
"Comoros",174,"COM","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.499705417191127,0.507031374371643,0.391992862142424,0.7727222214495,0.292669984862353,0.646065486424309,0.536158536273712,0.509150925558322,0.474836567944435,0.537106631133267,0.298208,0.549654006958008,0.328116580645243,0.6825,0.635666666666667,1,0.0635719691644407,0.530611497694728,0.2838264886059,0.939113520359016,0.379082940852109,0.62,0.81128460098944,0.141657827048841,0.655533182391332,25
"Mayotte",175,"MYT","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.52021608080482,0.641590034810535,0.345175707155527,0.676495298855164,0.41670099249026,0.595836686140542,0.532829482083685,0.449798677204499,0.966538633115383,0.508432796036493,0.264980167392068,0.39090452454808,0.379642430561962,0.521949736708625,0.635666666666667,0.871869495219688,0.0635719691644407,0.530611497694728,0.655919511861714,0.929677119357028,0.379082940852109,0.47875,0.702045776542489,0.240909488915724,0.655533182391332,1
"Congo",178,"COG","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.466225030360402,0.661997148439237,0.278810826460409,0.621109236372695,0.321401363107705,0.602903108788369,0.462321976108773,0.413384258987422,1,0.572607188316282,0.2332456,0.473253546820747,0.129933333396912,0.572127371466896,0.417,0.874200339514516,0.132666666666667,0.530611497694728,0.300925925925926,0.949626387321708,0.379082940852109,0.48,0.616386448658976,0.199382899857727,0.571196581196581,33
"Democratic Republic of the Congo",180,"COD","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.491372481193499,0.577452789349067,0.316260166287082,0.70253760659805,0.423987081121662,0.518346254655755,0.499185359653951,0.365317592368822,1,0.367040777410737,0.2551588,0.40184211730957,0.291779582500458,0.437355769230769,0.793,0.877257052670993,0.0635719691644407,0.530611497694728,0.677777777777778,0.945955824670195,0.379082940852109,0.23,0.644531977513439,0.126774102945969,0.72625,32
"Costa Rica",188,"CRI","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.654705787696197,0.784579711455753,0.602891779021199,0.860666642995632,0.487752026215702,0.646042074002457,0.613911529195664,0.607959959688999,1,0.745779177031999,0.5838,1,0.224875338872274,0.686999931568897,0.895,1,0.234,0.471220519991469,0.758035560118893,0.883915641210611,0.374210582734887,0.68,0.898740580518071,0.296598714390362,0.646395294520295,25
"Croatia",191,"HRV","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.706417267710955,0.794785980899012,0.819555980832107,0.897548273184851,0.436312619148682,0.747649885442603,0.651606123495365,0.628874575659665,0.802849370374362,0.952633999047366,0.9469,1,0.511767944954989,0.878209106434905,0.821,0.993435715812292,0.044,0.531104902495556,0.733832956259427,0.956725091787815,0.526224566782944,0.76,0.98287949819741,0.267308036331415,0.704630837912088,18
"Cuba",192,"CUB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.653583911061376,0.736245291320287,0.864979627780069,0.81137696050524,0.361133854785668,0.691078629504385,0.60445137441632,0.597668044662504,0.869358224887103,0.741709606619988,0.8605416,0.999428134494358,0.734969151440788,0.635749931568897,0.798380952380952,1,0.354145485330044,0.471220519991469,0.258035560118893,0.939025307851505,0.374210582734887,0.76,0.897578531927059,0.296598714390362,0.619176878744893,14
"Cyprus",196,"CYP","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.602451375294587,0.780756770881132,0.754535220811559,0.74967493390066,0.25269525355023,0.730127163693819,0.58677032758392,0.603646463376487,0.882442740344147,0.856181111265031,0.9278,1,0.335805664698283,0.616024803951004,0.633,1,0.119333333333333,0.416911570520298,0.221840857555143,0.971857204793654,0.518524288478184,0.7,0.989098897629359,0.184502730101928,0.586709356780785,22
"Czechia",203,"CZE","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.71448452244636,0.797531638303548,0.86214355569032,0.871706104801944,0.477201507996682,0.790720510377744,0.588212901656389,0.649207908972665,0.753202142654091,0.990184865676482,0.9442,1,0.642230669657389,0.878209106434905,0.737,0.999909210586046,0.166666666666667,0.531104902495556,0.733832956259427,0.95593696672245,0.526224566782944,0.89,0.975398245188714,0.267308036331415,0.521932425213675,22
"Benin",204,"BEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.515398960098786,0.606532180922861,0.366481502954848,0.570945070082338,0.438145994995397,0.629588019624982,0.535409029042439,0.463150925604322,0.810912063973837,0.545533555010022,0.0839175,0.41668701171875,0.598839998245239,0.601057692307692,0.467,0.644777519652156,0,0.530611497694728,0.7838264886059,0.939681119911601,0.379082940852109,0.57,0.72576745558945,0.134209121207307,0.746250511936786,33
"Denmark",208,"DNK","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.782337281953264,0.869174646246719,0.859804887759512,0.922736367888899,0.632757063396682,0.793180193193118,0.662476842367039,0.642541242312665,1,0.964982699035017,0.821,1,0.758414665857951,0.878209106434905,0.89,1,0.633333333333333,0.531104902495556,0.733832956259427,0.973316015175953,0.526224566782944,0.88,0.988190067543459,0.267308036331415,0.731932425213675,21
"Dominican Republic",214,"DOM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.63940240826952,0.766840949922063,0.614892745104967,0.83223397352674,0.496021472177287,0.599565607741357,0.58554234825465,0.5854266263782,0.854204293216071,0.860891932472441,0.6276,0.775260416666667,0.441817820492913,0.608701923076923,0.888,1,0.354145485330044,0.471220519991469,0.662698412698413,0.864486242287881,0.374210582734887,0.56,0.799363759316578,0.332854718852415,0.624408568351583,30
"Ecuador",218,"ECU","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.677871767948293,0.744079629716817,0.722621051576829,0.843249976346382,0.610211941297502,0.596712439301517,0.587696527581908,0.594627272132645,0.819221520068435,0.81839009918161,0.723,1,0.444863156898349,0.680749931568897,0.849,1,0.389333333333333,0.683266932270917,0.758035560118893,0.854269500648293,0.385867819046395,0.55,0.847463535210508,0.296449170553413,0.619176878744893,28
"El Salvador",222,"SLV","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.611572420265084,0.709571233684612,0.6190330446764,0.827374976362257,0.448475215617057,0.517316267686869,0.620555392965019,0.573259959723699,0.839849055285565,0.715604688173284,0.5924,0.65186047024197,0.612838665644328,0.660124931568897,0.822,1,0.0793333333333333,0.471220519991469,0.794871794871795,0.637738221877668,0.374210582734887,0.54,0.867568316995765,0.296491026154122,0.697606837606838,28
"Equatorial Guinea",226,"GNQ","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.422173970099696,0.650203974783365,0.193855234842825,0.517705798551268,0.292669984862353,0.657290923402014,0.451027178411332,0.558077773052056,0.966538633115383,0.425995520133267,0.0543,0.39090452454808,0.136361180561962,0.558377371466896,0.635666666666667,0.359073359073359,0.0635719691644407,0.530611497694728,0.2838264886059,0.952789831325805,0.379082940852109,0.64,0.471716990280022,0.240909488915724,0.640455057391332,15
"Ethiopia",231,"ETH","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.517705757495518,0.632565819138438,0.273405082365484,0.808426281242856,0.436651689902113,0.556403273415806,0.566787703369014,0.557028218137857,0.893575019400027,0.447094221775128,0.1308728,0.277105204264323,0.412237243652344,0.604278846153846,0.821,1,0.0635719691644407,0.39453125,0.851851851851852,0.946559343684438,0.41265047823219,0.31,0.765223165176806,0.299865212683989,0.635274733946609,35
"Eritrea",232,"ERI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.457804110193082,0.626116400160095,0.354493122009487,0.665304510452446,0.227975685306277,0.546637319306064,0.500272875537547,0.403377773206756,0.966538633115383,0.508432796036493,0.264980167392068,0.418856769137912,0.379642430561962,0.488377371466896,0.635666666666667,0.871869495219688,0.0635719691644407,0.530611497694728,0.0897435897435897,0.830829018705995,0.379082940852109,0.43,0.76828126444911,0.100925633380745,0.631611730283605,15
"Estonia",233,"EST","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.712998208625242,0.85444781751571,0.794535983260386,0.887736367923899,0.432708875979453,0.773985256546358,0.650907106551998,0.645207908976665,0.959330280425948,0.958805265707861,0.8274,1,0.556207952164767,0.878209106434905,0.785,1,0.198,0.366293672977058,0.733832956259427,0.940912418360237,0.461043353600792,0.92,0.980782447365214,0.267308036331415,0.704630837912088,21
"Fiji",242,"FJI","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.605614547260544,0.804555720477208,0.614990261622898,0.700502783896697,0.332479363734992,0.713780684433,0.599810514295133,0.602011698920729,1,0.811655464924563,0.3428399,0.887576548258463,0.6145543384552,0.444675020458265,0.656833333333333,1,0,0.298720143484465,0.698717948717949,0.897621368701891,0.523720686738451,0.72,0.904556627171675,0.193669433182671,0.701205484330484,16
"Finland",246,"FIN","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.754537219325747,0.868362868470565,0.866458887844411,0.906372689494709,0.499423730196682,0.788145468344298,0.687467908823712,0.640874575647665,1,0.964214032369119,0.8904,1,0.708976666132609,0.902118071203245,0.817,1,0.233333333333333,0.531104902495556,0.733832956259427,0.928211840614386,0.526224566782944,0.91,0.985663266988449,0.267308036331415,0.809432425213675,21
