"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Politics_Resource_CollectData","Politics_Resource_YouthPolicy_Num","Politics_Resource","Politics_Agency_active_member","Politics_Agency_Vote_National","Politics_Agency","Politics_Achievement_Parliament30","Politics_Achievement","Politics"
"Benin",204,"BEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.567652977211801,1,0.7838264886059,0.522447439313902,0.538775556075554,0.530611497694728,0,0,0.438145994995397
"Denmark",208,"DNK","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.633333333333333,0.633333333333333,0.632757063396682
"Dominican Republic",214,"DOM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.325396825396825,1,0.662698412698413,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.496021472177287
"Ecuador",218,"ECU","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.406374501992032,0.960159362549801,0.683266932270917,0.389333333333333,0.389333333333333,0.610211941297502
"El Salvador",222,"SLV","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.58974358974359,1,0.794871794871795,0.2771903589872,0.665250680995738,0.471220519991469,0.0793333333333333,0.0793333333333333,0.448475215617057
"Equatorial Guinea",226,"GNQ","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.567652977211801,0,0.2838264886059,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.292669984862353
"Ethiopia",231,"ETH","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.703703703703704,1,0.851851851851852,0.484375,0.3046875,0.39453125,0.0635719691644407,0.0635719691644407,0.436651689902113
"Eritrea",232,"ERI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.179487179487179,0,0.0897435897435897,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.227975685306277
"Estonia",233,"EST","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.0741645117244656,0.658422834229651,0.366293672977058,0.198,0.198,0.432708875979453
"Fiji",242,"FJI","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"Finland",246,"FIN","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.233333333333333,0.233333333333333,0.499423730196682
"France",250,"FRA","Western Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.37,0.37,0.544979285706682
"French Guiana",254,"GUF","South America","Latin America and the Caribbean","Non-UNFPA Country",0.516071120237787,0.87037037037037,0.693220745304079,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.506195583035668
"French Polynesia",258,"PYF","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"Djibouti",262,"DJI","Eastern Africa","Sub-Saharan Africa","Arab States",0.567652977211801,0.744186046511628,0.655919511861714,0.522447439313902,0.538775556075554,0.530611497694728,0.615333333333333,0.615333333333333,0.600621447029304
"Gabon",266,"GAB","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.567652977211801,1,0.7838264886059,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.459336651362353
"Georgia",268,"GEO","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.434343434343434,1,0.717171717171717,0.0232558139534884,0.730994152046784,0.377124983000136,0.0446666666666667,0.0446666666666667,0.379654455233186
"Gambia",270,"GMB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.58974358974359,1,0.794871794871795,0.522447439313902,0.538775556075554,0.530611497694728,0.689333333333333,0.689333333333333,0.671605541295013
"State of Palestine",275,"PSE","Western Asia","Northern Africa and Western Asia","Arab States",0.466666666666667,0,0.233333333333333,0.26271186440678,0.722943722943723,0.492827793675252,0.0924493325750226,0.0924493325750226,0.272870152921666
"Germany",276,"DEU","Western Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.246153846153846,0.8,0.523076923076923,0.028,0.028,0.428303292683813
"Ghana",288,"GHA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.761904761904762,1,0.880952380952381,0.444479302613526,0.566371348258207,0.505425325435866,0.0635719691644407,0.0635719691644407,0.483316558034246
"Kiribati",296,"KIR","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"Greece",300,"GRC","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0,0.233832956259427,0.0692868043148956,0.798205088460223,0.433745946387559,0.0446666666666667,0.0446666666666667,0.237415189533802
"Grenada",308,"GRD","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,0.87037037037037,0.693220745304079,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.506195583035668
"Guadeloupe",312,"GLP","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.516071120237787,0.87037037037037,0.693220745304079,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.506195583035668
"Guam",316,"GUM","Micronesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"Guatemala",320,"GTM","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.37962962962963,1,0.689814814814815,0.38876889848812,0.831533477321814,0.610151187904967,0.458666666666667,0.458666666666667,0.586210889209272
"Guinea",324,"GIN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.488888888888889,0.744186046511628,0.616537467700258,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.403573644449569
"Guyana",328,"GUY","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,0.5,0.508035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.444467188035668
"Haiti",332,"HTI","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.454545454545455,0.5,0.477272727272727,0.0988372093023256,0.357864357864358,0.228350783583342,0,0,0.235207836716815
"Honduras",340,"HND","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.481481481481481,1,0.740740740740741,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.522035581498716
"China, Hong Kong SAR",344,"HKG","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.393608706108706,0.65625,0.524929353054353,0.202399094744262,0.586219941469384,0.394309518106823,0.147551434756124,0.147551434756124,0.355596768283503
"Hungary",348,"HUN","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.0673333333333333,0.0673333333333333,0.444090396918682
"Iceland",352,"ISL","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0,0.233832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.317333333333333,0.317333333333333,0.360757063668682
"India",356,"IND","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.469135802469136,1,0.734567901234568,0.446753246753246,0.86374695863747,0.655250102695358,0.0526666666666667,0.0526666666666667,0.480828223051369
"Indonesia",360,"IDN","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.393608706108706,0,0.196804353054353,0.788772114651862,0.726010597894321,0.757391356273092,0.255333333333333,0.255333333333333,0.403176347150416
"Iran (Islamic Republic of)",364,"IRN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.527940295301406,0,0.263970147650703,0.615384615384616,0.827838827838828,0.721611721611722,0.0688860267919865,0.0688860267919865,0.351489298333315
"Iraq",368,"IRQ","Western Asia","Northern Africa and Western Asia","Arab States",0.537037037037037,0.5,0.518518518518518,0.427480916030534,0.721374045801527,0.57442748091603,0.0924493325750226,0.0924493325750226,0.395131776941392
"Ireland",372,"IRL","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.25,0.25,0.504979285746681
"Israel",376,"ISR","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.443681715110286,0,0.221840857555143,0.133056512762734,0.568157040821949,0.350606776792341,0,0,0.190815877925012
"Italy",380,"ITA","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0,0.233832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.455333333333333,0.455333333333333,0.406757063622682
"Côte d'Ivoire",384,"CIV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.461538461538462,0.5,0.480769230769231,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.358317565517816
"Jamaica",388,"JAM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.577777777777778,1,0.788888888888889,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.538084964198716
"Japan",392,"JPN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.393608706108706,1,0.696804353054353,0.0273972602739726,0.726027397260274,0.376712328767123,0,0,0.357838893582653
"Kazakhstan",398,"KAZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.632478632478632,1,0.816239316239316,0.133333333333333,0.748148148148148,0.440740740740741,0.251333333333333,0.251333333333333,0.502771129601692
"Jordan",400,"JOR","Western Asia","Northern Africa and Western Asia","Arab States",0.46031746031746,0.4,0.43015873015873,0.116129032258065,0.509677419354839,0.312903225806452,0.0924493325750226,0.0924493325750226,0.278503762568231
"Kenya",404,"KEN","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.737373737373737,1,0.868686868686869,0.522447439313902,0.538775556075554,0.530611497694728,0.038,0.038,0.479099454981433
"Dem. People's Republic of Korea",408,"PRK","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.393608706108706,0.65625,0.524929353054353,0.274537333096086,0.322902953872844,0.298720143484465,0.147551434756124,0.147551434756124,0.323733643441247
"Republic of Korea",410,"KOR","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.393608706108706,1,0.696804353054353,0.133333333333333,0.575,0.354166666666667,0,0,0.350323672890016
"Kuwait",414,"KWT","Western Asia","Northern Africa and Western Asia","Arab States",0.443681715110286,0.5,0.471840857555143,0.133056512762734,0.429447852760736,0.281252182761735,0,0,0.251031013187928
"Kyrgyzstan",417,"KGZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.430555555555556,1,0.715277777777778,0.147430150766939,0.604654720221408,0.376042435494174,0.278,0.278,0.45644007063421
"Lao People's Democratic Republic",418,"LAO","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.323232323232323,0,0.161616161616162,0.274537333096086,0.322902953872844,0.298720143484465,0.147551434756124,0.147551434756124,0.202629246416288
"Lebanon",422,"LBN","Western Asia","Northern Africa and Western Asia","Arab States",0.443681715110286,1,0.721840857555143,0.15609756097561,0.658536585365854,0.407317073170732,0.0924493325750226,0.0924493325750226,0.407202420693097
"Lesotho",426,"LSO","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.688888888888889,0.744186046511628,0.716537467700258,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.436906977749569
"Latvia",428,"LVA","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.266666666666667,0.266666666666667,0.510534841296682
"Liberia",430,"LBR","Western Africa","Sub-Saharan Africa","West & Central Africa",0.450980392156863,1,0.725490196078431,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.439891220539309
"Libya",434,"LBY","Northern Africa","Northern Africa and Western Asia","Arab States",0.443681715110286,0,0.221840857555143,0.447415145956182,0.700658275050393,0.574036710503288,0.0924493325750226,0.0924493325750226,0.296108966581709
"Lithuania",440,"LTU","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.189333333333333,0.189333333333333,0.484757063544682
"Luxembourg",442,"LUX","Western Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.222,0.222,0.495645952422682
"China, Macao SAR",446,"MAC","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.393608706108706,0.65625,0.524929353054353,0.170212765957447,0.322902953872844,0.246557859915146,0.147551434756124,0.147551434756124,0.306346215602195
"Madagascar",450,"MDG","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.611111111111111,1,0.805555555555556,0.522447439313902,0.538775556075554,0.530611497694728,0,0,0.445389017304705
"Malawi",454,"MWI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.649572649572649,1,0.824786324786325,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.472989930075508
"Malaysia",458,"MYS","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.283950617283951,1,0.641975308641975,0.551020408163266,0.36734693877551,0.459183673469388,0.06,0.06,0.387052993650068
"Maldives",462,"MDV","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.527940295301406,1,0.763970147650703,0.433848820790293,0.808104377263699,0.620976599026996,0.23,0.23,0.538315581687584
"Mali",466,"MLI","Western Africa","Sub-Saharan Africa","West & Central Africa",0.572649572649573,0,0.286324786324786,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.293502750767816
"Malta",470,"MLT","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.398,0.398,0.554312619030682
"Martinique",474,"MTQ","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.516071120237787,0.87037037037037,0.693220745304079,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.506195583035668
"Mauritania",478,"MRT","Western Africa","Sub-Saharan Africa","West & Central Africa",0.296296296296296,0.744186046511628,0.520241171403962,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.371474879049569
"Mauritius",480,"MUS","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.567652977211801,1,0.7838264886059,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.459336651362353
"Mexico",484,"MEX","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.655555555555556,1,0.827777777777778,0.383279807658148,0.698604443862954,0.540942125760551,0.346666666666667,0.346666666666667,0.57179552282987
"Mongolia",496,"MNG","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.571428571428572,1,0.785714285714286,0.274537333096086,0.322902953872844,0.298720143484465,0.147551434756124,0.147551434756124,0.410661954240963
"Republic of Moldova",498,"MDA","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.735042735042735,1,0.867521367521368,0.399131677064735,0.663078127926376,0.531104902495556,0.333333333333333,0.333333333333333,0.577319867206099
"Montenegro",499,"MNE","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0.828947368421053,0.648306640469953,0.399131677064735,0.663078127926376,0.531104902495556,0.329333333333333,0.329333333333333,0.502914958263366
"Morocco",504,"MAR","Northern Africa","Northern Africa and Western Asia","Arab States",0.466666666666667,1,0.733333333333333,0.0662983425414364,0.159090909090909,0.112694625816173,0.135333333333333,0.135333333333333,0.327120430500493
"Mozambique",508,"MOZ","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.615740740740741,1,0.80787037037037,0.522447439313902,0.538775556075554,0.530611497694728,0.08,0.08,0.472827288882205
"Oman",512,"OMN","Western Asia","Northern Africa and Western Asia","Arab States",0.443681715110286,0,0.221840857555143,0.133056512762734,0.568157040821949,0.350606776792341,0,0,0.190815877925012
"Namibia",516,"NAM","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.681481481481482,1,0.840740740740741,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.478308068721662
"Nepal",524,"NPL","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.703703703703704,1,0.851851851851852,0.433848820790293,0.808104377263699,0.620976599026996,0,0,0.490942816468673
"Netherlands",528,"NLD","Western Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.09009009009009,0.869158878504673,0.479624484297381,0.133333333333333,0.133333333333333,0.44893025751445
