"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Gender_and_Autonomy_Resource_UpperSec_Ratio","Gender_Resource","Gender_and_Autonomy_Agency_Res_Civil","Gender_Agency","Gender_and_Autonomy_Achievement_SP_DYN_MRBF18","Gender_and_Autonomy_Achievement_violence_w_1524","Gender_Achievement","Gender"
"Dominican Republic",214,"DOM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.888,0.888,0.55125,0.666153846153846,0.608701923076923,0.83223397352674
"Ecuador",218,"ECU","South America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.849,0.849,0.7225,0.638999863137794,0.680749931568897,0.843249976346382
"El Salvador",222,"SLV","Central America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.822,0.822,0.68125,0.638999863137794,0.660124931568897,0.827374976362257
"Equatorial Guinea",226,"GNQ","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.359073359073359,0.359073359073359,0.635666666666667,0.635666666666667,0.63125,0.485504742933792,0.558377371466896,0.517705798551268
"Ethiopia",231,"ETH","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",1,1,0.821,0.821,0.49625,0.712307692307692,0.604278846153846,0.808426281242856
"Eritrea",232,"ERI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.871869495219688,0.871869495219688,0.635666666666667,0.635666666666667,0.49125,0.485504742933792,0.488377371466896,0.665304510452446
"Estonia",233,"EST","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.785,0.785,0.95218207046332,0.804236142406489,0.878209106434905,0.887736367923899
"Fiji",242,"FJI","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",1,1,0.656833333333333,0.656833333333333,0.673965425531915,0.215384615384615,0.444675020458265,0.700502783896697
"Finland",246,"FIN","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.817,0.817,1,0.804236142406489,0.902118071203245,0.906372689494709
"France",250,"FRA","Western Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.947,0.947,0.95218207046332,0.804236142406489,0.878209106434905,0.941736367869899
"French Guiana",254,"GUF","South America","Latin America and the Caribbean","Non-UNFPA Country",1,1,0.798380952380952,0.798380952380952,0.700197802197802,0.638999863137794,0.669598832667798,0.822659927526924
"French Polynesia",258,"PYF","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.927558331028159,0.927558331028159,0.656833333333333,0.656833333333333,0.673965425531915,0.215384615384615,0.444675020458265,0.67635556093023
"Djibouti",262,"DJI","Eastern Africa","Sub-Saharan Africa","Arab States",0.747081320067348,0.747081320067348,0.635666666666667,0.635666666666667,0.93375,0.485504742933792,0.709627371466896,0.697458452036179
"Gabon",266,"GAB","Middle Africa","Sub-Saharan Africa","West & Central Africa",1,1,0.744,0.744,0.72625,0.224615384615385,0.475432692307692,0.739810896696087
"Georgia",268,"GEO","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",1,1,0.813,0.813,0.82625,0.461322921661301,0.64378646083065,0.818928819457955
"Gambia",270,"GMB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.949024548710384,0.949024548710384,0.516,0.516,0.67875,0.298461538461538,0.488605769230769,0.651210105329174
"State of Palestine",275,"PSE","Western Asia","Northern Africa and Western Asia","Arab States",1,1,0.406,0.406,0.8325,0.461322921661301,0.646911460830651,0.68430381959258
"Germany",276,"DEU","Western Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.857,0.857,0.95218207046332,0.804236142406489,0.878209106434905,0.911736367899899
"Ghana",288,"GHA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.946861250159943,0.946861250159943,0.773,0.773,0.75875,0.275384615384615,0.517067307692308,0.745642851871774
"Kiribati",296,"KIR","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.927558331028159,0.927558331028159,0.656833333333333,0.656833333333333,0.77,0.215384615384615,0.492692307692308,0.692361323325572
"Greece",300,"GRC","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.997068489346273,0.997068489346273,0.834,0.834,0.95218207046332,0.804236142406489,0.878209106434905,0.903092531023967
"Grenada",308,"GRD","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.798380952380952,0.798380952380952,0.700197802197802,0.638999863137794,0.669598832667798,0.822659927526924
"Guadeloupe",312,"GLP","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",1,1,0.798380952380952,0.798380952380952,0.700197802197802,0.638999863137794,0.669598832667798,0.822659927526924
"Guam",316,"GUM","Micronesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.927558331028159,0.927558331028159,0.656833333333333,0.656833333333333,0.673965425531915,0.215384615384615,0.444675020458265,0.67635556093023
"Guatemala",320,"GTM","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.970108075507913,0.970108075507913,0.566,0.566,0.63125,0.775384615384615,0.703317307692308,0.746475126986932
"Guinea",324,"GIN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.72423034659807,0.72423034659807,0.556,0.556,0.41875,0.485504742933792,0.452127371466896,0.577452572110869
"Guyana",328,"GUY","South America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.798380952380952,0.798380952380952,0.6225,0.638999863137794,0.630749931568897,0.80971029384024
"Haiti",332,"HTI","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.987483774889131,0.987483774889131,0.409,0.409,0.81375,0.504615384615385,0.659182692307692,0.685222155047052
"Honduras",340,"HND","Central America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.847,0.847,0.58,0.663076923076923,0.621538461538462,0.822846153023308
"China, Hong Kong SAR",344,"HKG","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",1,1,0.733,0.733,0.806185493336362,0.751494253944445,0.778839873640404,0.837279957042855
"Hungary",348,"HUN","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.985507494061149,0.985507494061149,0.724,0.724,0.95218207046332,0.804236142406489,0.878209106434905,0.862572199302779
"Iceland",352,"ISL","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.826,0.826,0.95218207046332,0.804236142406489,0.878209106434905,0.901403034576899
"India",356,"IND","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.950188570448282,0.950188570448282,0.788,0.788,0.65875,0.683076923076923,0.670913461538462,0.803034009859214
"Indonesia",360,"IDN","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.995933729535913,0.995933729535913,0.596,0.596,0.79625,0.751494253944445,0.773872126972222,0.788601951380777
"Iran (Islamic Republic of)",364,"IRN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.941432513998475,0.941432513998475,0.249,0.249,0.79125,0.628483070233409,0.709866535116705,0.633433015738294
"Iraq",368,"IRQ","Western Asia","Northern Africa and Western Asia","Arab States",0.98336253612731,0.98336253612731,0.485,0.485,0.65125,0.461322921661301,0.556286460830651,0.674882998311104
"Ireland",372,"IRL","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.882,0.882,0.95218207046332,0.804236142406489,0.878209106434905,0.920069701224899
"Israel",376,"ISR","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",1,1,0.616,0.616,0.770726686240707,0.461322921661301,0.616024803951004,0.74400826723966
"Italy",380,"ITA","Southern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.911,0.911,0.95218207046332,0.804236142406489,0.878209106434905,0.929736367881899
"Côte d'Ivoire",384,"CIV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.939094462537459,0.939094462537459,0.796,0.796,0.6625,0.435384615384615,0.548942307692308,0.761345589315243
"Jamaica",388,"JAM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.771,0.771,0.90125,0.638999863137794,0.770124931568897,0.847041643009257
"Japan",392,"JPN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",1,1,0.752,0.752,0.806185493336362,0.751494253944445,0.778839873640404,0.843613290369855
"Kazakhstan",398,"KAZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",1,1,0.782,0.782,0.9125,0.628483070233409,0.770491535116705,0.850830510854738
"Jordan",400,"JOR","Western Asia","Northern Africa and Western Asia","Arab States",1,1,0.369,0.369,0.87875,0.701538461538462,0.790144230769231,0.719714742870029
"Kenya",404,"KEN","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.949106382885353,0.949106382885353,0.828,0.828,0.71375,0.369230769230769,0.541490384615385,0.772865588394047
"Dem. People's Republic of Korea",408,"PRK","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",1,1,0.656833333333333,0.656833333333333,0.99875,0.751494253944445,0.875122126972222,0.8439851525912
"Republic of Korea",410,"KOR","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",1,1,0.796,0.796,0.806185493336362,0.751494253944445,0.778839873640404,0.858279957021855
"Kuwait",414,"KWT","Western Asia","Northern Africa and Western Asia","Arab States",0.98483783156121,0.98483783156121,0.542928571428571,0.542928571428571,0.770726686240707,0.461322921661301,0.616024803951004,0.714597068265665
"Kyrgyzstan",417,"KGZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",1,1,0.82,0.82,0.83875,0.844615384615385,0.841682692307692,0.887227563215337
"Lao People's Democratic Republic",418,"LAO","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.981826526841829,0.981826526841829,0.656833333333333,0.656833333333333,0.59125,0.751494253944445,0.671372126972222,0.770010661612451
"Lebanon",422,"LBN","Western Asia","Northern Africa and Western Asia","Arab States",0.98483783156121,0.98483783156121,0.379,0.379,0.925,0.461322921661301,0.693161460830651,0.68566643011162
"Lesotho",426,"LSO","Southern Africa","Sub-Saharan Africa","East & Southern Africa",1,1,0.624,0.624,0.795,0.485504742933792,0.640252371466896,0.754750789734215
"Latvia",428,"LVA","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.723,0.723,0.95218207046332,0.804236142406489,0.878209106434905,0.867069701277899
"Liberia",430,"LBR","Western Africa","Sub-Saharan Africa","West & Central Africa",0.74660848412361,0.74660848412361,0.472,0.472,0.55125,0.0738461538461538,0.312548076923077,0.51038551983851
"Libya",434,"LBY","Northern Africa","Northern Africa and Western Asia","Arab States",0.98483783156121,0.98483783156121,0.542928571428571,0.542928571428571,0.770726686240707,0.461322921661301,0.616024803951004,0.714597068265665
"Lithuania",440,"LTU","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.803,0.803,1,0.804236142406489,0.902118071203245,0.901706022832709
"Luxembourg",442,"LUX","Western Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.919,0.919,0.95218207046332,0.804236142406489,0.878209106434905,0.932403034545899
"China, Macao SAR",446,"MAC","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",1,1,0.656833333333333,0.656833333333333,0.806185493336362,0.751494253944445,0.778839873640404,0.811891068179355
"Madagascar",450,"MDG","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",1,1,0.406,0.406,0.49625,0.485504742933792,0.490877371466896,0.63229245652334
"Malawi",454,"MWI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.946541026601641,0.946541026601641,0.381,0.381,0.47375,0.458461538461538,0.466105769230769,0.597882264679588
"Malaysia",458,"MYS","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",1,1,0.656833333333333,0.656833333333333,0.806185493336362,0.751494253944445,0.778839873640404,0.811891068179355
"Maldives",462,"MDV","Southern Asia","Central and Southern Asia","Asia & the Pacific",1,1,0.643454545454546,0.643454545454546,0.9725,0.713846153846154,0.843173076923077,0.828875873296998
"Mali",466,"MLI","Western Africa","Sub-Saharan Africa","West & Central Africa",0.808359018244958,0.808359018244958,0.711,0.711,0.32875,0.38,0.354375,0.624578005457075
"Malta",470,"MLT","Southern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.737,0.737,0.95218207046332,0.804236142406489,0.878209106434905,0.871736367939899
"Martinique",474,"MTQ","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",1,1,0.798380952380952,0.798380952380952,0.700197802197802,0.638999863137794,0.669598832667798,0.822659927526924
"Mauritania",478,"MRT","Western Africa","Sub-Saharan Africa","West & Central Africa",0.867884637651169,0.867884637651169,0.478,0.478,0.5375,0.485504742933792,0.511502371466896,0.619129002420226
"Mauritius",480,"MUS","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.871869495219688,0.871869495219688,0.593,0.593,0.558394730483459,0.485504742933792,0.521949736708625,0.662273076647165
"Mexico",484,"MEX","Central America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.854,0.854,0.74125,0.638999863137794,0.690124931568897,0.848041643008257
"Mongolia",496,"MNG","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",1,1,0.771,0.771,0.85,0.751494253944445,0.800747126972222,0.857249041466825
"Republic of Moldova",498,"MDA","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",1,1,0.89,0.89,0.8475,0.556923076923077,0.702211538461538,0.864070511956442
"Montenegro",499,"MNE","Southern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.863,0.863,0.9275,0.804236142406489,0.865868071203245,0.909622689491459
"Morocco",504,"MAR","Northern Africa","Northern Africa and Western Asia","Arab States",0.903220292410182,0.903220292410182,0.407,0.407,0.82875,0.461322921661301,0.64503646083065,0.651752250428525
"Mozambique",508,"MOZ","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.810779034010698,0.810779034010698,0.671,0.671,0.33875,0.678461538461538,0.508605769230769,0.663461600417027
"Oman",512,"OMN","Western Asia","Northern Africa and Western Asia","Arab States",0.98483783156121,0.98483783156121,0.542928571428571,0.542928571428571,0.95,0.461322921661301,0.705661460830651,0.744475953862335
"Namibia",516,"NAM","Southern Africa","Sub-Saharan Africa","East & Southern Africa",1,1,0.649,0.649,0.91375,0.458461538461538,0.686105769230769,0.778368588965221
"Nepal",524,"NPL","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.540104055567973,0.540104055567973,0.598,0.598,0.59,0.773846153846154,0.681923076923077,0.606675710223674
"Netherlands",528,"NLD","Western Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.789,0.789,0.95218207046332,0.804236142406489,0.878209106434905,0.889069701255899
"Curaçao",531,"CUW","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",1,1,0.798380952380952,0.798380952380952,0.700197802197802,0.638999863137794,0.669598832667798,0.822659927526924
"Aruba",533,"ABW","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.798380952380952,0.798380952380952,0.700197802197802,0.638999863137794,0.669598832667798,0.822659927526924
"New Caledonia",540,"NCL","Melanesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.927558331028159,0.927558331028159,0.656833333333333,0.656833333333333,0.673965425531915,0.215384615384615,0.444675020458265,0.67635556093023
"Vanuatu",548,"VUT","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.655001446404312,0.655001446404312,0.656833333333333,0.656833333333333,0.7325,0.215384615384615,0.473942307692308,0.595259028548059
"New Zealand",554,"NZL","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",1,1,0.78,0.78,0.95218207046332,0.804236142406489,0.878209106434905,0.886069701258899
"Nicaragua",558,"NIC","Central America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.938,0.938,0.56,0.638999863137794,0.599499931568897,0.845833309677132
"Niger",562,"NER","Western Africa","Sub-Saharan Africa","West & Central Africa",0.338754823078056,0.338754823078056,0.744,0.744,0.04625,0.485504742933792,0.265877371466896,0.449544064398773
"Nigeria",566,"NGA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.923682232560003,0.923682232560003,0.461,0.461,0.4575,0.472307692307692,0.464903846153846,0.616528692288088
"Norway",578,"NOR","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.805,0.805,0.95218207046332,0.804236142406489,0.878209106434905,0.894403034583899
"Micronesia (Fed. States of)",583,"FSM","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.927558331028159,0.927558331028159,0.656833333333333,0.656833333333333,0.673965425531915,0.215384615384615,0.444675020458265,0.67635556093023
"Pakistan",586,"PAK","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.991941893583281,0.991941893583281,0.469,0.469,0.77125,0.616923076923077,0.694086538461538,0.718342809963264
"Panama",591,"PAN","Central America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.822,0.822,0.67,0.638999863137794,0.654499931568897,0.825499976364132
"Papua New Guinea",598,"PNG","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.927558331028159,0.927558331028159,0.656833333333333,0.656833333333333,0.65875,0.215384615384615,0.437067307692308,0.673819656677447
"Paraguay",600,"PRY","South America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.702,0.702,0.73,0.638999863137794,0.684499931568897,0.795499976394132
"Peru",604,"PER","South America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.871,0.871,0.7825,0.629230769230769,0.705865384615385,0.858955127346173
"Philippines",608,"PHL","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",1,1,0.549,0.549,0.79375,0.74,0.766875,0.771958332561375
"Poland",616,"POL","Eastern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.875,0.875,0.95218207046332,0.804236142406489,0.878209106434905,0.917736367893899
"Portugal",620,"PRT","Southern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.886,0.886,0.95218207046332,0.804236142406489,0.878209106434905,0.921403034556899
"Guinea-Bissau",624,"GNB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.732816146074359,0.732816146074359,0.635666666666667,0.635666666666667,0.67875,0.485504742933792,0.582127371466896,0.650203394085771
"Timor-Leste",626,"TLS","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",1,1,0.656833333333333,0.656833333333333,0.81375,0.592307692307692,0.703028846153846,0.786620725709106
