"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","SRH_Empowerment_Resource_ProviderDisc","SRH_Empowerment_Resource_SH_LGR_ACSRHES1","SRH_Empowerment_Resource_SH_LGR_ACSRHES2","SRH_Empowerment_Resource_SH_LGR_ACSRHES4","SRH_Resource","SRH_Empowerment_Agency_DS_1524","SRH_Empowerment_Agency_fert_know_m","SRH_Empowerment_Agency_fert_know_w","SRH_Empowerment_Agency_HIVKnow_m_1524","SRH_Empowerment_Agency_HIVKnow_w_1524","SRH_Empowerment_Agency_knows_ltm_stm_m","SRH_Empowerment_Agency_knows_ltm_stm_w","SRH_Agency","SRH_Empowerment_Achievement_ASFR15","SRH_Empowerment_Achievement_HIV","SRH_Empowerment_Achievement_SH_STA_MORT","SRH_Achievement","SRH"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.504273504273504,0.73,0.37,0.75,0.588568376068376,0.584380349593819,0.000602827793530251,0.000726612627760175,0.063,0.01,0.0060378900373655,0.00677710894891725,0.156988142324401,0.65521508992,0.995,0.445217391304348,0.698477493042972,0.481344669997238
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.297729700854701,0.82,0.85,0.7,0.666932425213675,0.0826666666666667,0.000695617672989179,0.00201160813975897,0.201,0.351,0.00507889694409371,0.00771120238102284,0.0916038323088998,0.90178993,0.998,0.98695652173913,0.962248816284128,0.573595024028639
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",0.327382881668596,0.629,0.695454545454545,0.695,0.586709356780785,0.663327430972389,0.000721108755618755,0.00212456375388281,0.0746671916010499,0.0542868820852934,0.008340519802158,0.00922671287264443,0.184502730101928,0.94964511,0.996,0.902608695652174,0.949417934267973,0.573543339810019
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.335002047747146,0.65,1,0.75,0.683750511936786,0.421333333333333,0.000511487503317228,0.00136160745743872,0.316,0.325,0.0048605407788473,0.00528336117935156,0.186960457948203,0.24737005,0.848,0.790434782608696,0.628601610240964,0.499770859542213
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.33,0.75,0.540031658156658,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.78609,0.979435721707161,0.963478260869565,0.909667993282574,0.582099454694432
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.327382881668596,0.629,0.695454545454545,0.695,0.586709356780785,0.226666666666667,0.000431708800183034,0.00154168558881962,0.053,0.048,0.00221341946921984,0.00501725670441144,0.0704421754869959,0.72080995825,0.994,0.977391304347826,0.897400419968542,0.51818398356059
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.6860899756,0.984,0.966086956521739,0.878725643161854,0.598167078167536
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.297729700854701,0.81,0.93,0.75,0.696932425213675,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.94142506568,0.998,0.994782608695652,0.978069223813815,0.647436561138865
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.9632999646,0.988663450574511,0.995652173913044,0.982538528713313,0.651492467000779
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.849995024,0.979435721707161,0.939130434782609,0.922853725907069,0.612876439067898
"Bahrain",48,"BHR","Western Asia","Northern Africa and Western Asia","Arab States",0.327382881668596,0.629,0.695454545454545,0.695,0.586709356780785,0.663327430972389,0.000721108755618755,0.00212456375388281,0.0746671916010499,0.0542868820852934,0.008340519802158,0.00922671287264443,0.184502730101928,0.93316001018,0.99542412465972,0.987826086956522,0.972136739626611,0.581116274921992
"Bangladesh",50,"BGD","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.388888888888889,0.658571428571429,0,0.39,0.359365079365079,0.584380349593819,0.000808616776450645,0.00303886736941433,0.144,0.127,0.00938588220154479,0.00970877838014783,0.182837855489399,0.5851900468,0.990064509061697,0.849565217391304,0.808273256942727,0.45015873014891
"Armenia",51,"ARM","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.333333333333333,0.94,0.93,0.7,0.725833333333333,0.494666666666667,0.00107831154782151,0.002562672248681,0.125,0.202,0.00668203413913007,0.00749486439171068,0.166768901957585,0.89254998217,0.994,0.977391304347826,0.954647094551295,0.615749775998321
"Barbados",52,"BRB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.63,0.2,0.65,0.473895294520295,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.832249972,0.985,0.976521739130435,0.931257236112221,0.567250414440375
"Belgium",56,"BEL","Western Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,1,1,0.775821314102564,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.97674508276,0.988663450574511,0.995652173913044,0.987020234762165,0.676716527721998
"Bhutan",64,"BTN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.0873015873015873,0.658571428571429,0.643636363636364,0.671111111111111,0.515155122655123,0.584380349593819,0.000808616776450645,0.00136006933875605,0.260623029306237,0.176758452226546,0.00825062887236683,0.00853648976312094,0.203137248183889,0.89908,0.990064509061697,0.840869565217391,0.910004690516358,0.542765686575691
"Bolivia (Plurinational State of)",68,"BOL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.649572649572649,0.664545454545455,0.644705882352941,0.751875,0.677674746617761,0.532,0.00283117878477521,0.00334504104043504,0.277,0.224,0.00766387088348899,0.00829265584738698,0.198391593319511,0.6755,0.994,0.865217391304348,0.844905796256543,0.573657378157615
