"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","SRH_Empowerment_Resource_ProviderDisc","SRH_Empowerment_Resource_SH_LGR_ACSRHES1","SRH_Empowerment_Resource_SH_LGR_ACSRHES2","SRH_Empowerment_Resource_SH_LGR_ACSRHES4","SRH_Resource","SRH_Empowerment_Agency_DS_1524","SRH_Empowerment_Agency_fert_know_m","SRH_Empowerment_Agency_fert_know_w","SRH_Empowerment_Agency_HIVKnow_m_1524","SRH_Empowerment_Agency_HIVKnow_w_1524","SRH_Empowerment_Agency_knows_ltm_stm_m","SRH_Empowerment_Agency_knows_ltm_stm_w","SRH_Agency","SRH_Empowerment_Achievement_ASFR15","SRH_Empowerment_Achievement_HIV","SRH_Empowerment_Achievement_SH_STA_MORT","SRH_Achievement","SRH"
"Bosnia and Herzegovina",70,"BIH","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.951790038,0.988663450574511,0.991304347826087,0.97725261115628,0.64973049448353
"Botswana",72,"BWA","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.335002047747146,0.705,0.93,0.8,0.692500511936786,0.612660822071641,0.00122373259007994,0.00239445185212557,0.356556084624194,0.329215866803216,0.00564070123599044,0.00692343007690078,0.240909488915724,0.76969490752,0.193,0.874782608695652,0.612492504792725,0.515300834699777
"Brazil",76,"BRA","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.909333333333333,0.00159519874534071,0.00259515989812155,0.296172438973503,0.284591311985946,0.00862271314539584,0.00924122930668008,0.302685589840207,0.704444992,0.979435721707161,0.947826086956522,0.877235599343992,0.599699355376665
"Belize",84,"BLZ","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.5,0,0.6,0.378895294520295,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.657564984,0.979435721707161,0.968695652173913,0.868565451758459,0.514686486375019
"Solomon Islands",90,"SLB","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.282051282051282,0.6675,0.877777777777778,0.877777777777778,0.676276709401709,0.514666666666667,0.000582726864294459,0.00175641766299628,0.262,0.244,0.00508367568812383,0.00659931191261948,0.193669433182671,0.609985213,0.951235849056604,0.909565217391304,0.823595425659041,0.564513855516626
"Brunei Darussalam",96,"BRN","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.434021842355176,0.6675,0.877777777777778,0.877777777777778,0.714269349477683,0.958679982839983,0.00133963219837169,0.00186415148059137,0.195967013597448,0.206357016730676,0.00666326241004484,0.00857429502127397,0.292265667139796,0.94864000056,0.970751175609604,0.97304347826087,0.964144883846013,0.656893299497604
"Bulgaria",100,"BGR","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.80069996416,0.997,0.991304347826087,0.929668103065694,0.63386899180253
"Myanmar",104,"MMR","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.37962962962963,0.67,1,0.75,0.699907407407407,1,0.000264841589270611,0.000348185714096309,0.178,0.162,0.00659177851670719,0.00807434681631344,0.294409894079548,0.857455087,0.944,0.782608695652174,0.861354593356037,0.61855729766244
"Burundi",108,"BDI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.317460317460317,0.79,0.38,0.75,0.559365079365079,0.650666666666667,0.000918424641009409,0.00208134033704802,0.549,0.524,0.0079105691213349,0.00895380307215003,0.299274683813109,0.72205,0.982,0.523478260869565,0.742509419547346,0.533716393708128
"Belarus",112,"BLR","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.297729700854701,0.9,1,0.69,0.721932425213675,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.92746501606,0.983,0.998260869565217,0.96957529423883,0.652938584608368
"Cambodia",116,"KHM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.222222222222222,0.94,1,1,0.790555555555556,0.724,0.00133963219837169,0.00163473038722502,0.459,0.376,0.00666326241004484,0.00961996773542161,0.287782199091383,0.74911509912,0.995,0.860869565217391,0.868328220577469,0.648888657759247
"Cameroon",120,"CMR","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.196581196581197,0.79,1,0.8103125,0.699223424145299,0.649333333333333,0.00177207085175667,0.00422614543879171,0.358,0.406,0.00575223079460428,0.00629340173343904,0.260088814435657,0.471000225,0.891,0.54,0.634000074366,0.531104103784548
"Canada",124,"CAN","Northern America","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.95806494,0.988663450574511,0.991304347826087,0.979344245154188,0.650427705815469
"Cabo Verde",132,"CPV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.335002047747146,0.705,0.771818181818182,0.8103125,0.655533182391332,0.612660822071641,0.00122373259007994,0.00239445185212557,0.356556084624194,0.329215866803216,0.00564070123599044,0.00692343007690078,0.240909488915724,0.6312050211,0.976,0.949565217391304,0.852256745311511,0.582899804956623
"Central African Republic",140,"CAF","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.166666666666667,0.75,0.7,0.75,0.591666666666667,0.129333333333333,0.00122373259007994,0.00167718517697793,0.356556084624194,0.329215866803216,0.00561684655904385,0.00411729805022911,0.119634210058801,0.35462997418,0.832,0.279130434782609,0.488586802498949,0.39996255934151
"Sri Lanka",144,"LKA","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.563492063492063,0.63,1,1,0.798373015873016,0.584380349593819,0.000808616776450645,0.0036699165733585,0.260623029306237,0.176758452226546,0.00825062887236683,0.00916200666320106,0.203504168700725,0.89537001608,1,0.968695652173913,0.954688555129949,0.652188579249041
"Chad",148,"TCD","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.177777777777778,0.94,1,0.75,0.716944444444444,0.206666666666667,0.0017258668320119,0.00255764073900994,0.154,0.112,0.00248029145312385,0.00344095453788496,0.0861922608619205,0.19454980558,0.946,0.00869565217391304,0.383081818868223,0.395406174329456
"Chile",152,"CHL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.79474,0.969,0.988695652173913,0.917478549807159,0.611084713703053
"China",156,"CHN","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.434021842355176,0.6675,1,0.75,0.712880460588794,0.958679982839983,0.00133963219837169,0.00186415148059137,0.195967013597448,0.206357016730676,0.00666326241004484,0.00857429502127397,0.292265667139796,0.961824928,0.970751175609604,0.974782608695652,0.969119569799299,0.658088565184541
"China, Taiwan Province of China",158,"TWN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.434021842355176,0.6675,0.877777777777778,0.877777777777778,0.714269349477683,0.958679982839983,0.00133963219837169,0.00186415148059137,0.195967013597448,0.206357016730676,0.00666326241004484,0.00857429502127397,0.292265667139796,0.980795,0.970751175609604,0.947516058139542,0.966354076950028,0.657629697198206
"Colombia",170,"COL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.363636363636364,0.92,1,1,0.820909090909091,1,0.00161106726220414,0.00232968713198864,0.29,0.319,0.00927756652368239,0.00968340353894071,0.328987715557102,0.666745078,0.984,0.927826086956522,0.85952372079265,0.669806841749808
"Comoros",174,"COM","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.335002047747146,0.705,0.771818181818182,0.8103125,0.655533182391332,0.34,0.0031146999983214,0.00426767550236644,0.239,0.191,0.00782698373200839,0.00805325715802957,0.141657827048841,0.67324510975,0.998,0.762608695652174,0.81128460098944,0.536158536273712
"Mayotte",175,"MYT","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.335002047747146,0.705,0.771818181818182,0.8103125,0.655533182391332,0.612660822071641,0.00122373259007994,0.00239445185212557,0.356556084624194,0.329215866803216,0.00564070123599044,0.00692343007690078,0.240909488915724,0.72086498692,0.83262775244361,0.552644592369994,0.702045776542489,0.532829482083685
"Congo",178,"COG","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.324786324786325,0.44,0.92,0.6,0.571196581196581,0.58,0.00122373259007994,0.00515776350214621,0.276,0.144,0.00440729739608263,0.00427440537350476,0.199382899857727,0.438855,0.739,0.671304347826087,0.616386448658976,0.462321976108773
"Democratic Republic of the Congo",180,"COD","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.6,0.705,0.85,0.75,0.72625,0.281333333333333,0.00301540055092694,0.00404805409935477,0.249,0.186,0.00413150315283102,0.00533119909796939,0.126774102945969,0.3789002823,0.966,0.588695652173913,0.644531977513439,0.499185359653951
"Costa Rica",188,"CRI","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.5,0.67,1,0.646395294520295,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.73270000512,0.987,0.976521739130435,0.898740580518071,0.613911529195664
"Croatia",191,"HRV","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.95659501928,0.999,0.99304347826087,0.98287949819741,0.651606123495365
"Cuba",192,"CUB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.7420399463,0.982,0.968695652173913,0.897578531927059,0.60445137441632
"Cyprus",196,"CYP","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.327382881668596,0.629,0.695454545454545,0.695,0.586709356780785,0.663327430972389,0.000721108755618755,0.00212456375388281,0.0746671916010499,0.0542868820852934,0.008340519802158,0.00922671287264443,0.184502730101928,0.9770899625,0.99542412465972,0.994782608695652,0.989098897629359,0.58677032758392
"Czechia",203,"CZE","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.79,0,1,0.521932425213675,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.94013998357,0.988663450574511,0.997391304347826,0.975398245188714,0.588212901656389
"Benin",204,"BEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.335002047747146,0.88,0.77,1,0.746250511936786,0.36,0.00151291050879906,0.00253882336941575,0.186,0.15,0.00593893924444139,0.00768229653579834,0.134209121207307,0.56951976025,0.953,0.654782608695652,0.72576745558945,0.535409029042439
"Denmark",208,"DNK","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.88,0.85,0.9,0.731932425213675,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.97938501589,0.988663450574511,0.996521739130435,0.988190067543459,0.662476842367039
"Dominican Republic",214,"DOM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.436507936507937,0.664545454545455,0.644705882352941,0.751875,0.624408568351583,0.893333333333333,0.000380174353920848,0.000941111046889383,0.41,0.446,0.00916208280519357,0.00968771594665242,0.332854718852415,0.528699976,0.952,0.917391304347826,0.799363759316578,0.58554234825465
"Ecuador",218,"ECU","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.00159519874534071,0.00210096889342172,0.296172438973503,0.284591311985946,0.00871656116188024,0.00753187149413564,0.296449170553413,0.603694956,0.99,0.948695652173913,0.847463535210508,0.587696527581908
"El Salvador",222,"SLV","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.35042735042735,0.69,1,0.75,0.697606837606838,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00754603776267156,0.296491026154122,0.65270495359,0.99,0.96,0.867568316995765,0.620555392965019
"Equatorial Guinea",226,"GNQ","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.335002047747146,0.705,0.771818181818182,0.75,0.640455057391332,0.612660822071641,0.00122373259007994,0.00239445185212557,0.356556084624194,0.329215866803216,0.00564070123599044,0.00692343007690078,0.240909488915724,0.22189010269,0.455,0.738260869565217,0.471716990280022,0.451027178411332
"Ethiopia",231,"ETH","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.253968253968254,0.705,0.771818181818182,0.8103125,0.635274733946609,0.873333333333333,0.00120794081822713,0.00233978485397704,0.391,0.243,0.00706826216058021,0.0076390469724622,0.299865212683989,0.66636515,0.978,0.651304347826087,0.765223165176806,0.566787703369014
"Eritrea",232,"ERI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.239316239316239,0.705,0.771818181818182,0.8103125,0.631611730283605,0.153333333333333,0.00122373259007994,0.00239445185212557,0.356556084624194,0.128,0.00564070123599044,0.00692343007690078,0.100925633380745,0.7372351,0.985,0.582608695652174,0.76828126444911,0.500272875537547
"Estonia",233,"EST","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.96150998142,0.988663450574511,0.992173913043478,0.980782447365214,0.650907106551998
"Fiji",242,"FJI","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.381766381766382,0.6675,0.877777777777778,0.877777777777778,0.701205484330484,0.514666666666667,0.000582726864294459,0.00175641766299628,0.262,0.244,0.00508367568812383,0.00659931191261948,0.193669433182671,0.75323510162,0.99,0.970434782608696,0.904556627171675,0.599810514295133
"Finland",246,"FIN","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.94,1,1,0.809432425213675,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.970935049,0.988663450574511,0.997391304347826,0.985663266988449,0.687467908823712
"France",250,"FRA","Western Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.97636502246,0.988663450574511,0.99304347826087,0.986023982779103,0.652654285021548
"French Guiana",254,"GUF","South America","Latin America and the Caribbean","Non-UNFPA Country",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.708185008,0.979435721707161,0.940623382020406,0.876081369699774,0.597285653681057
"French Polynesia",258,"PYF","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.381766381766382,0.6675,0.877777777777778,0.877777777777778,0.701205484330484,0.514666666666667,0.000582726864294459,0.00175641766299628,0.262,0.244,0.00508367568812383,0.00659931191261948,0.193669433182671,0.80656,0.951235849056604,0.888718010695833,0.882171285701975,0.592348733812695
"Djibouti",262,"DJI","Eastern Africa","Sub-Saharan Africa","Arab States",0.335002047747146,0.705,0.771818181818182,0.8103125,0.655533182391332,0.612660822071641,0.00122373259007994,0.00239445185212557,0.356556084624194,0.329215866803216,0.00564070123599044,0.00692343007690078,0.240909488915724,0.90579503761,0.987,0.784347826086957,0.892380953673271,0.596274541063834
"Gabon",266,"GAB","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.335002047747146,0.75,0.22,0.48,0.446250511936786,0.684,0.00122373259007994,0.00481655223965364,0.361,0.298,0.0046195900030975,0.00563596508218324,0.255411979989377,0.5188648,0.889,0.780869565217391,0.729578121009552,0.477080203834825
"Georgia",268,"GEO","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.380952380952381,0.9,1,0.9,0.795238095238095,0.663327430972389,0.000721108755618755,0.00212456375388281,0.0746671916010499,0.0542868820852934,0.008340519802158,0.00922671287264443,0.184502730101928,0.7679600338,0.99542412465972,0.978260869565217,0.913881675094431,0.631207499513611
"Gambia",270,"GMB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.23015873015873,0.81,1,0.65,0.672539682539683,0.364,0.000755889805283164,0.00156775651969344,0.182,0.224,0.00686914558925342,0.00891894963353935,0.144013967693471,0.609075025,0.911,0.480869565217391,0.666981529405482,0.4945117260517
"State of Palestine",275,"PSE","Western Asia","Northern Africa and Western Asia","Arab States",0.303703703703704,0.57,0.85,0.75,0.618425925925926,0.663327430972389,0.000721108755618755,0.00212456375388281,0.0746671916010499,0.0542868820852934,0.008340519802158,0.00922671287264443,0.184502730101928,0.73616986882,0.99542412465972,0.976521739130435,0.90270524330068,0.568544632540967
"Germany",276,"DEU","Western Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.68,0.85,1,0.706932425213675,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.9595249628,0.988663450574511,0.993913043478261,0.98070048463689,0.651646981409013
"Ghana",288,"GHA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.357142857142857,0.705,0.771818181818182,0.8103125,0.66106838474026,0.526666666666667,0.00112060197575375,0.00298223208411133,0.272,0.199,0.00704790030656377,0.00815172116949197,0.192954473608657,0.66694487824,0.9,0.732173913043478,0.766372929661453,0.540131928796658
"Kiribati",296,"KIR","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.381766381766382,0.6675,0.877777777777778,0.877777777777778,0.701205484330484,0.514666666666667,0.000582726864294459,0.00175641766299628,0.262,0.244,0.00508367568812383,0.00659931191261948,0.193669433182671,0.91911492276,0.951235849056604,0.92,0.930116923008751,0.608330612898972
"Greece",300,"GRC","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.59,0.33,0.9,0.529432425213675,0.876641364136413,0.00230450749706912,0.00449781633015735,0.199191815856777,0.163210049796288,0.00720268749312427,0.00877468540507541,0.267308036331415,0.96388496896,0.988663450574511,0.997391304347826,0.983313240310799,0.593351233358612
"Grenada",308,"GRD","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.85411492828,0.979435721707161,0.978260869565217,0.937270505580189,0.617682032287466
"Guadeloupe",312,"GLP","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.00159519874534071,0.0024216474305548,0.296172438973503,0.284591311985946,0.00871656116188024,0.00840754365258863,0.296598714390362,0.922665106,0.979435721707161,0.940623382020406,0.947574735628281,0.621116775633395
"Guam",316,"GUM","Micronesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.381766381766382,0.6675,0.877777777777778,0.877777777777778,0.701205484330484,0.514666666666667,0.000582726864294459,0.00175641766299628,0.262,0.244,0.00508367568812383,0.00659931191261948,0.193669433182671,0.84143502532,0.951235849056604,0.888718010695833,0.893796294130349,0.596223736618278
"Guatemala",320,"GTM","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.592592592592593,0.664545454545455,0.85,0.65,0.689284511784512,0.733333333333333,0.00155184687566132,0.00171647015189719,0.219,0.222,0.0086468979320751,0.0089176565963733,0.241062442277834,0.64535002345,0.995,0.917391304347826,0.852580441746695,0.594309131342038
"Guinea",324,"GIN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.119047619047619,0.705,1,0.75,0.643511904761905,0.624,0.00123186348965358,0.00216297790818165,0.245,0.207,0.00416011755820194,0.00585130641467335,0.214175783171339,0.32352990544,0.928,0.499130434782609,0.583553446157316,0.480413710883106
