"ISONum","pol_part","pol_part_Year"
12,0.231481481481481,2014
31,0.073733253516643,2011
51,0.0969854044462404,2011
233,0.198816135264483,2011
268,0.189024390243902,2014
275,0.342105263157895,2013
288,0.0722902653682696,2012
332,0.356756756756757,2016
356,0.351973684210526,2012
434,0.39152100381162,2014
504,0.217877094972067,2011
528,0.381818181818182,2012
616,0.492905161946546,2012
646,0.0633333333333333,2012
705,0.424242424242424,2011
710,0.201052710075643,2013
724,0.319755257293173,2011
752,0.701950104909044,2011
780,0.28695652173913,2010
858,0.203252032520325,2011
887,0.216783216783217,2014
20,0.615384615384615,2018
32,0.201109288152923,2017
36,0.759890147789075,2018
50,0.103448275862069,2018
68,0.204408817635271,2017
76,0.479970886645648,2018
104,0.0742574257425743,2020
124,0.752644019088602,2020
152,0.224437656643592,2018
156,0.1503328052852,2018
158,0.236235343695214,2019
170,0.43013698630137,2018
196,0.372612681969322,2019
218,0.203187250996016,2018
231,0.2421875,2020
276,0.630769230769231,2018
300,0.427053030663604,2017
320,0.347732181425486,2020
344,0.328747955927216,2018
360,0.232156148770714,2018
364,0.267399267399267,2020
368,0.229007633587786,2018
392,0.191780821917808,2019
398,0.118518518518519,2018
400,0.161290322580645,2018
410,0.208333333333333,2018
417,0.144363719524834,2020
422,0.131707317073171,2018
446,0.175531914893617,2020
458,0.316326530612245,2018
484,0.202039872615857,2018
554,0.714285714285714,2020
558,0.136231884057971,2020
566,0.242857142857143,2018
586,0.177777777777778,2018
604,0.181389059497835,2018
608,0.17653282081259,2019
630,0.352,2018
642,0.213631840895347,2018
643,0.24003613910448,2017
688,0.254385964912281,2017
702,0.2625,2020
704,0.0253807106598985,2020
716,0.157303370786517,2020
762,0.148648648648649,2020
764,0.213592233009709,2018
788,0.144827586206897,2019
792,0.127371273712737,2018
804,0.171265247784526,2020
818,0.0864864864864865,2018
840,0.486565333453842,2017
