"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Index","Economics","Education","Gender","Politics","Safety","SRH","Economics_Achievement","Economics_Agency","Economics_Resource","Education_Achievement","Education_Agency","Education_Resource","Gender_Achievement","Gender_Agency","Gender_Resource","Politics_Achievement","Politics_Agency","Politics_Resource","Safety_Achievement","Safety_Agency","Safety_Resource","SRH_Achievement","SRH_Agency","SRH_Resource","Indicator_N"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.497582970473223,0.642888247524294,0.284213713879899,0.585279704407494,0.528535409023673,0.497542544089793,0.539690482495132,0.63484213015558,0.905678703623001,0.388143910722967,0.2407906,0.504724544949002,0.107125997543335,0.490048076923077,0.619,0.646791038055243,0.376666666666667,0.620976599026996,0.587962962962963,0.808678461058165,0.503949172703842,0.18,0.698477493042972,0.332025579993119,0.588568376068376,34
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.723310272252525,0.847772685417187,0.79036483579586,0.898122689502959,0.512757063516682,0.727945086101882,0.637521490158405,0.74985625543551,0.954880337531283,0.838581465828085,0.8031211,0.936448076036241,0.631525333722432,0.828368071203245,0.866,1,0.273333333333333,0.531104902495556,0.733832956259427,0.947610693706539,0.526224566782944,0.71,0.962248816284128,0.283383230889975,0.666932425213675,31
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",0.538471202024753,0.776422264524494,0.545768073955326,0.69797048624558,0.184864388116012,0.677828573076086,0.65774657361107,0.719894589060274,0.868308795462326,0.741063411380149,0.2942439,0.995714992947049,0.347345330556234,0.706911460830651,0.387,1,0.0924493325750226,0.240302974772463,0.221840857555143,0.967587251814378,0.465898469447365,0.6,0.949417934267973,0.43711243175769,0.586709356780785,23
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.491988177761326,0.589439735488294,0.233598337653382,0.685477320584925,0.450590439427397,0.60701830858564,0.549340971783332,0.648059272765905,0.611827139430804,0.508432796036493,0.1881837,0.451905314127604,0.0607059995333353,0.576778846153846,0.635666666666667,0.843986450990693,0.0373333333333333,0.530611497694728,0.7838264886059,0.951971986725867,0.379082940852109,0.49,0.628601610240964,0.335670794820268,0.683750511936786,29
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.674600770963913,0.796742264960276,0.582101453703915,0.822659927526924,0.527800521285668,0.699277674313175,0.669305877442478,0.779158965763964,0.869358224887103,0.741709606619988,0.635583696608455,1,0.110720666249593,0.669598832667798,0.798380952380952,1,0.354145485330044,0.471220519991469,0.758035560118893,0.933622442302472,0.374210582734887,0.79,0.909667993282574,0.558217982896121,0.540031658156658,11
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.591896703888666,0.662078112530304,0.639088119744563,0.869178952341399,0.354080852916912,0.59374691151662,0.556150774593488,0.69251859643637,0.563782254981821,0.729933488158955,0.7495235,0.934371524386936,0.233369336764018,0.852019230769231,0.786,0.969517628862503,0.0924493325750226,0.247952369682812,0.721840857555143,0.950949389898491,0.41029134643261,0.42,0.897400419968542,0.184342548699591,0.586709356780785,31
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.610053096912945,0.704617762277964,0.672338174630923,0.866199610023066,0.289446747085223,0.633213978128528,0.685373500915583,0.66315203206076,0.87416535746352,0.576535899423464,0.5498767,1,0.467137825909783,0.669598832667798,0.929,1,0.13,0.480304682005116,0.258035560118893,0.869822302113588,0.339819634171636,0.69,0.878725643161854,0.558217982896121,0.619176878744893,25
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.731403735458167,0.957944661420075,0.673487667427505,0.880736367930899,0.448285525425856,0.810621468532403,0.741402810037282,0.883348754791211,1,0.990485232342848,0.8502,1,0.170263004302979,0.878209106434905,0.764,1,0,0.611023621362999,0.733832956259427,0.931830962152111,0.730033445876962,0.77,0.978069223813815,0.549206783308564,0.696932425213675,27
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",0.782946181932094,0.910119265420744,0.812985869606343,0.919069701225899,0.591645952326681,0.768026517529332,0.745458715899196,0.814216935764502,0.970579364173648,0.945561499054439,0.8832,1,0.555757611257988,0.878209106434905,0.879,1,0.51,0.531104902495556,0.733832956259427,0.947854988109133,0.526224566782944,0.83,0.982538528713313,0.549206783308564,0.704630837912088,17
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.655442685658511,0.802203816378977,0.589871436297967,0.822659927526924,0.444467188035668,0.654570973998558,0.700082861815945,0.78937078053645,0.869358224887103,0.747882446119988,0.635583696608455,0.743275790744358,0.390754823310702,0.669598832667798,0.798380952380952,1,0.354145485330044,0.471220519991469,0.508035560118893,0.8195023412245,0.374210582734887,0.77,0.922853725907069,0.558217982896121,0.619176878744893,11
