"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Safety_and_Security_Resource_INFORM","Safety_Resource","Safety_and_Security_Agency_humanrights","Safety_and_Security_Agency_pol_part","Safety_Agency","Safety_and_Security_Achievement_Displacement","Safety_and_Security_Achievement_InterViolence","Safety_and_Security_Achievement_SelfHarm","Safety_Achievement","Safety"
"Georgia",268,"GEO","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.6,0.6,0.619883040935672,0.189024390243902,0.404453715589787,0.828191649791029,0.956444844216306,0.911276250905766,0.898637580739063,0.634363764808586
"Gambia",270,"GMB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.6,0.6,0.540528334391958,0.217637547312259,0.379082940852109,0.999211558195732,0.986944547165766,0.932133688456333,0.972763263633181,0.650615400844481
"State of Palestine",275,"PSE","Western Asia","Northern Africa and Western Asia","Arab States",0.57,0.57,0.459574468085106,0.342105263157895,0.400839865621501,0.994062817752145,0.880983325701371,0.953869358129991,0.942971832918197,0.637937232208629
"Germany",276,"DEU","Western Europe","Europe and Northern America","Non-UNFPA Country",0.8,0.8,0.930232558139535,0.630769230769231,0.780500894454383,1,0.990234828751531,0.883794884948306,0.958009903608602,0.846170265174825
"Ghana",288,"GHA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.56,0.56,0.841990011043068,0.0722902653682696,0.457140138205669,0.99884817169368,0.956626640400545,0.92927414755265,0.961582985587376,0.659574373938107
"Kiribati",296,"KIR","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.62,0.62,0.881394958152483,0.166046415324419,0.523720686738451,1,0.946855446458169,0.331775648512222,0.75954369756392,0.634421460799702
"Greece",300,"GRC","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.71,0.71,0.517727878660029,0.427053030663604,0.472390454661817,1,0.989076823512557,0.959521679714381,0.982866166759447,0.721752206418669
"Grenada",308,"GRD","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.83,0.83,0.415123279914856,0.333297885554918,0.374210582734887,1,0.885368121942951,0.947651485923993,0.944339868344641,0.716183482976993
"Guadeloupe",312,"GLP","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.626129032258065,0.626129032258065,0.415123279914856,0.333297885554918,0.374210582734887,1,0.479864812225508,0.865274639939035,0.781713149939801,0.5940175877169
"Guam",316,"GUM","Micronesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.6,0.6,0.881394958152483,0.166046415324419,0.523720686738451,1,0.952725093671141,0.544130971534913,0.832285354236399,0.652002013006281
"Guatemala",320,"GTM","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.43,0.43,0.433920704845815,0.347732181425486,0.390826443135651,0.999629959699091,0.328544785246027,0.864468509869176,0.730881084207217,0.517235841930387
"Guinea",324,"GIN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.48,0.48,0.540528334391958,0.217637547312259,0.379082940852109,0.999140575252729,0.878910480717544,0.916644850841742,0.931565301339106,0.596882746800189
"Guyana",328,"GUY","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.63,0.63,0.415123279914856,0.333297885554918,0.374210582734887,1,0.623837839017636,0.518578426807551,0.714138754560924,0.572783111859154
"Haiti",332,"HTI","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.37,0.37,0.178674351585014,0.356756756756757,0.267715554170885,0.999287069885577,0.529182221923735,0.856277235218239,0.794915508214268,0.477543686984174
"Honduras",340,"HND","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.46,0.46,0.415123279914856,0.333297885554918,0.374210582734887,0.93871223615386,0.499939117214815,0.968584107720442,0.802411819560627,0.545540800219631
"China, Hong Kong SAR",344,"HKG","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.6275,0.6275,0.738972652702555,0.328747955927216,0.533860304314886,1,0.970938774687296,0.919510794485095,0.963483188760647,0.70828116365023
"Hungary",348,"HUN","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.81,0.81,0.608079956143569,0.444369177422319,0.526224566782944,0.99978757848033,0.9900896730862,0.892634082623625,0.960837110435881,0.765687224973921
"Iceland",352,"ISL","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.88,0.88,0.608079956143569,0.444369177422319,0.526224566782944,1,0.991153779913864,0.901909354075685,0.964354377032162,0.790192980481509
"India",356,"IND","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.46,0.46,0.705263157894737,0.351973684210526,0.528618421052631,0.999992174297718,0.961300758649174,0.713716047693029,0.891669659321637,0.626762692831327
"Indonesia",360,"IDN","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.53,0.53,0.881472227002311,0.232156148770714,0.556814187886512,0.999999638825285,0.98050615082641,0.94596365398364,0.975489813569622,0.68743466646461
"Iran (Islamic Republic of)",364,"IRN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.51,0.51,0.659259259259259,0.267399267399267,0.463329263329263,0.997996670534919,0.94211495938651,0.890045522185512,0.943385716425595,0.638904992612714
"Iraq",368,"IRQ","Western Asia","Northern Africa and Western Asia","Arab States",0.35,0.35,0.296875,0.229007633587786,0.262941316793893,0.978786294418688,0.822191934989138,0.91779492816119,0.906257718283414,0.506399677852703
"Ireland",372,"IRL","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.85,0.85,0.608079956143569,0.444369177422319,0.526224566782944,1,0.989921229612831,0.861981249335557,0.950634158698829,0.775619574384971
"Israel",376,"ISR","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.73,0.73,0.45117503717855,0.163664346248988,0.307419691713769,0.999973770272896,0.966857523747239,0.932986209674943,0.96660583359842,0.668008507769388
"Italy",380,"ITA","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.75,0.75,0.608079956143569,0.444369177422319,0.526224566782944,1,0.990821341607958,0.944358039084305,0.978393125919028,0.751539230149118
"Côte d'Ivoire",384,"CIV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.41,0.41,0.540528334391958,0.217637547312259,0.379082940852109,0.996754118905058,0.879179269014925,0.915480351959024,0.930471245695864,0.57318472827614
"Jamaica",388,"JAM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.69,0.69,0.415123279914856,0.333297885554918,0.374210582734887,0.999963920798938,0.812899534597909,0.963163504010315,0.925342318877045,0.663184299874126
"Japan",392,"JPN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.77,0.77,0.592592592592593,0.191780821917808,0.3921867072552,0.99999317645914,0.995017875131689,0.813417320920986,0.936142789901129,0.699443165019333
