"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Education_Resource_Educ_GDP","Education_Resource_SH_LGR_ACSRHES3","Education_Resource","Education_Agency_SE.SEC.ENRR","Education_Agency","Education_Achievement_UpperSec_Both","Education_Achievement","Education"
"Bolivia (Plurinational State of)",68,"BOL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.312061009744201,0.614117647058823,0.463089328401512,0.888674672444661,0.888674672444661,0.7619,0.7619,0.70455466624417
"Bosnia and Herzegovina",70,"BIH","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.33134120692004,0.763157894736842,0.547249550828441,1,1,0.9306007,0.9306007,0.82595008278353
"Botswana",72,"BWA","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.460958003997803,0.94,0.700479001998901,0.39090452454808,0.39090452454808,0.264980167392068,0.264980167392068,0.452121230860895
"Brazil",76,"BRA","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.405900669097901,0.614117647058823,0.510009158078362,1,1,0.6732,0.6732,0.727736385298384
"Belize",84,"BLZ","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.529397328694661,0.5,0.514698664347331,0.836070251464843,0.836070251464843,0.4944114,0.4944114,0.615060104655665
"Solomon Islands",90,"SLB","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.67566000620524,0.89125,0.78345500310262,0.425770907931858,0.425770907931858,0.260925397058824,0.260925397058824,0.49005043554105
"Brunei Darussalam",96,"BRN","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.295027319590251,0.89125,0.593138659795125,0.904010094536675,0.904010094536675,0.599863627246118,0.599863627246118,0.699004126493635
"Bulgaria",100,"BGR","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.272734673817953,0.763157894736842,0.517946284277397,0.915473259819879,0.915473259819879,0.8006,0.8006,0.744673180621086
"Myanmar",104,"MMR","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.131614001592,1,0.565807000796,0.649298010932075,0.649298010932075,0.1653339,0.1653339,0.460146303449212
"Burundi",108,"BDI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.338576666514079,0.5,0.419288333257039,0.389902793036567,0.389902793036567,0.1238276,0.1238276,0.311006241786862
"Belarus",112,"BLR","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.330163319905599,1,0.665081659952799,1,1,0.9003093,0.9003093,0.855130319129136
"Cambodia",116,"KHM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.144190661112467,1,0.572095330556234,0.498115666707357,0.498115666707357,0.2122902,0.2122902,0.427500398660363
"Cameroon",120,"CMR","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.206700007120768,0,0.103350003560384,0.556201765272352,0.556201765272352,0.1601381,0.1601381,0.273229956004349
"Canada",124,"CAN","Northern America","Europe and Northern America","Non-UNFPA Country",0.350803343454997,0.763157894736842,0.556980619095919,1,1,0.857,0.857,0.804660205560646
"Cabo Verde",132,"CPV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.315563996632894,0.4865625,0.401063248316447,0.877674357096354,0.877674357096354,0.264980167392068,0.264980167392068,0.514572590420384
"Central African Republic",140,"CAF","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.117914001146952,0.94,0.528957000573476,0.0792819976806645,0.0792819976806645,0.0693784,0.0693784,0.225872465858841
"Sri Lanka",144,"LKA","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.142359336217245,1,0.571179668108622,1,1,0.2503406,0.2503406,0.607173422095701
"Chad",148,"TCD","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.158163992563883,0,0.0790819962819417,0.117278226216634,0.117278226216634,0.0980743,0.0980743,0.0981448407347139
"Chile",152,"CHL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.362211322784424,0.614117647058823,0.488164484921624,1,1,0.8575,0.8575,0.781888160858653
"China",156,"CHN","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.236166000366211,0.89125,0.563708000183105,0.868593343098959,0.868593343098959,0.6087,0.6087,0.680333780413688
