"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","SRH_Empowerment_Resource_ProviderDisc","SRH_Empowerment_Resource_SH_LGR_ACSRHES1","SRH_Empowerment_Resource_SH_LGR_ACSRHES2","SRH_Empowerment_Resource_SH_LGR_ACSRHES4","SRH_Resource","SRH_Empowerment_Agency_DS_1524","SRH_Empowerment_Agency_fert_know_m","SRH_Empowerment_Agency_fert_know_w","SRH_Empowerment_Agency_HIVKnow_m_1524","SRH_Empowerment_Agency_HIVKnow_w_1524","SRH_Empowerment_Agency_knows_ltm_stm_m","SRH_Empowerment_Agency_knows_ltm_stm_w","SRH_Agency","SRH_Empowerment_Achievement_ASFR15","SRH_Empowerment_Achievement_HIV","SRH_Empowerment_Achievement_SH_STA_MORT","SRH_Achievement","SRH"
"Belize",84,"BLZ","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.5,0,0.6,0.378895294520295,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.657564984,0.979435721707161,0.968695652173913,0.868565451758459,0.601892909123065
"Solomon Islands",90,"SLB","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.282051282051282,0.6675,0.877777777777778,0.877777777777778,0.676276709401709,0.514666666666667,0.0582726864294459,0.175641766299628,0.262,0.244,0.508367568812383,0.659931191261948,0.367193318267092,0.609985213,0.951235849056604,0.909565217391304,0.823595425659041,0.622355150486926
"Brunei Darussalam",96,"BRN","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.434021842355176,0.6675,0.877777777777778,0.877777777777778,0.714269349477683,0.958679982839983,0.133963219837169,0.186415148059137,0.195967013597448,0.206357016730676,0.666326241004484,0.857429502127397,0.520477263379535,0.94864000056,0.970751175609604,0.97304347826087,0.964144883846013,0.732963831501446
"Bulgaria",100,"BGR","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.80069996416,0.997,0.991304347826087,0.929668103065694,0.727835240700947
"Myanmar",104,"MMR","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.37962962962963,0.67,1,0.75,0.699907407407407,1,0.0264841589270611,0.0348185714096309,0.178,0.162,0.659177851670719,0.807434681631344,0.483489407954844,0.857455087,0.944,0.782608695652174,0.861354593356037,0.681583802224512
"Burundi",108,"BDI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.317460317460317,0.79,0.38,0.75,0.559365079365079,0.650666666666667,0.0918424641009409,0.208134033704802,0.549,0.524,0.79105691213349,0.895380307215003,0.545093381310946,0.72205,0.982,0.523478260869565,0.742509419547346,0.615655959458801
"Belarus",112,"BLR","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.297729700854701,0.9,1,0.69,0.721932425213675,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.92746501606,0.983,0.998260869565217,0.96957529423883,0.746904833506785
"Cambodia",116,"KHM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.222222222222222,0.94,1,1,0.790555555555556,0.724,0.133963219837169,0.163473038722502,0.459,0.376,0.666326241004484,0.961996773542161,0.526094909138289,0.74911509912,0.995,0.860869565217391,0.868328220577469,0.728326227695445
"Cameroon",120,"CMR","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.196581196581197,0.79,1,0.8103125,0.699223424145299,0.649333333333333,0.177207085175667,0.422614543879171,0.358,0.406,0.575223079460428,0.629340173343904,0.48338144356573,0.471000225,0.891,0.54,0.634000074366,0.605534980086808
"Canada",124,"CAN","Northern America","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.95806494,0.988663450574511,0.991304347826087,0.979344245154188,0.744393954713886
"Cabo Verde",132,"CPV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.335002047747146,0.705,0.771818181818182,0.8103125,0.655533182391332,0.612660822071641,0.122373259007994,0.239445185212557,0.356556084624194,0.329215866803216,0.564070123599044,0.692343007690078,0.441165646385046,0.6312050211,0.976,0.949565217391304,0.852256745311511,0.649651857379644
"Central African Republic",140,"CAF","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.166666666666667,0.75,0.7,0.75,0.591666666666667,0.129333333333333,0.122373259007994,0.167718517697793,0.356556084624194,0.329215866803216,0.561684655904385,0.411729805022911,0.275993106965895,0.35462997418,0.832,0.279130434782609,0.488586802498949,0.452082191591755
"Sri Lanka",144,"LKA","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.563492063492063,0.63,1,1,0.798373015873016,0.584380349593819,0.0808616776450645,0.36699165733585,0.260623029306237,0.176758452226546,0.825062887236683,0.916200666320106,0.474407383657266,0.89537001608,1,0.968695652173913,0.954688555129949,0.742489650810921
"Chad",148,"TCD","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.177777777777778,0.94,1,0.75,0.716944444444444,0.206666666666667,0.17258668320119,0.255764073900994,0.154,0.112,0.248029145312385,0.344095453788496,0.21247608619205,0.19454980558,0.946,0.00869565217391304,0.383081818868223,0.437500782730738
"Chile",152,"CHL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.79474,0.969,0.988695652173913,0.917478549807159,0.6982911364511
"China",156,"CHN","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.434021842355176,0.6675,1,0.75,0.712880460588794,0.958679982839983,0.133963219837169,0.186415148059137,0.195967013597448,0.206357016730676,0.666326241004484,0.857429502127397,0.520477263379535,0.961824928,0.970751175609604,0.974782608695652,0.969119569799299,0.734159097188384
"China, Taiwan Province of China",158,"TWN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.434021842355176,0.6675,0.877777777777778,0.877777777777778,0.714269349477683,0.958679982839983,0.133963219837169,0.186415148059137,0.195967013597448,0.206357016730676,0.666326241004484,0.857429502127397,0.520477263379535,0.980795,0.970751175609604,0.947516058139542,0.966354076950028,0.733700229202048
"Colombia",170,"COL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.363636363636364,0.92,1,1,0.820909090909091,1,0.161106726220414,0.232968713198864,0.29,0.319,0.927756652368239,0.968340353894071,0.612396555710198,0.666745078,0.984,0.927826086956522,0.85952372079265,0.764276455039703
"Comoros",174,"COM","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.335002047747146,0.705,0.771818181818182,0.8103125,0.655533182391332,0.34,0.31146999983214,0.426767550236644,0.239,0.191,0.782698373200839,0.805325715802957,0.429532704884073,0.67324510975,0.998,0.762608695652174,0.81128460098944,0.632116828789498
"Mayotte",175,"MYT","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.335002047747146,0.705,0.771818181818182,0.8103125,0.655533182391332,0.612660822071641,0.122373259007994,0.239445185212557,0.356556084624194,0.329215866803216,0.564070123599044,0.692343007690078,0.441165646385046,0.72086498692,0.83262775244361,0.552644592369994,0.702045776542489,0.599581534506707
"Congo",178,"COG","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.324786324786325,0.44,0.92,0.6,0.571196581196581,0.58,0.122373259007994,0.515776350214621,0.276,0.144,0.440729739608263,0.427440537350476,0.385789985772669,0.438855,0.739,0.671304347826087,0.616386448658976,0.524457671351618
"Democratic Republic of the Congo",180,"COD","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.6,0.705,0.85,0.75,0.72625,0.281333333333333,0.301540055092694,0.404805409935477,0.249,0.186,0.413150315283102,0.533119909796939,0.33128529459686,0.3789002823,0.966,0.588695652173913,0.644531977513439,0.567355756802744
"Costa Rica",188,"CRI","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.5,0.67,1,0.646395294520295,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.73270000512,0.987,0.976521739130435,0.898740580518071,0.701117951943711
"Croatia",191,"HRV","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.95659501928,0.999,0.99304347826087,0.98287949819741,0.745572372393782
"Cuba",192,"CUB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.7420399463,0.982,0.968695652173913,0.897578531927059,0.691657797164367
"Cyprus",196,"CYP","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.327382881668596,0.629,0.695454545454545,0.695,0.586709356780785,0.663327430972389,0.0721108755618755,0.212456375388281,0.0746671916010499,0.0542868820852934,0.8340519802158,0.922671287264443,0.43711243175769,0.9770899625,0.99542412465972,0.994782608695652,0.989098897629359,0.670973561384971
"Czechia",203,"CZE","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.79,0,1,0.521932425213675,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.94013998357,0.988663450574511,0.997391304347826,0.975398245188714,0.682179150554805
"Benin",204,"BEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.335002047747146,0.88,0.77,1,0.746250511936786,0.36,0.151291050879906,0.253882336941575,0.186,0.15,0.593893924444139,0.768229653579834,0.352912120730682,0.56951976025,0.953,0.654782608695652,0.72576745558945,0.608310028810663
"Denmark",208,"DNK","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.88,0.85,0.9,0.731932425213675,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.97938501589,0.988663450574511,0.996521739130435,0.988190067543459,0.756443091265456
"Dominican Republic",214,"DOM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.436507936507937,0.664545454545455,0.644705882352941,0.751875,0.624408568351583,0.893333333333333,0.0380174353920848,0.0941111046889383,0.41,0.446,0.916208280519357,0.968771594665242,0.582471885241536,0.528699976,0.952,0.917391304347826,0.799363759316578,0.668748070301151
"Ecuador",218,"ECU","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.159519874534071,0.210096889342172,0.296172438973503,0.284591311985946,0.871656116188024,0.753187149413564,0.543263599201295,0.603694956,0.99,0.948695652173913,0.847463535210508,0.669968003715597
"El Salvador",222,"SLV","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.35042735042735,0.69,1,0.75,0.697606837606838,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.754603776267156,0.547449159272157,0.65270495359,0.99,0.96,0.867568316995765,0.704208103920712
"Equatorial Guinea",226,"GNQ","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.335002047747146,0.705,0.771818181818182,0.75,0.640455057391332,0.612660822071641,0.122373259007994,0.239445185212557,0.356556084624194,0.329215866803216,0.564070123599044,0.692343007690078,0.441165646385046,0.22189010269,0.455,0.738260869565217,0.471716990280022,0.517779230834354
"Ethiopia",231,"ETH","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.253968253968254,0.705,0.771818181818182,0.8103125,0.635274733946609,0.873333333333333,0.120794081822713,0.233978485397704,0.391,0.243,0.706826216058021,0.76390469724622,0.525771268398916,0.66636515,0.978,0.651304347826087,0.765223165176806,0.642089721865354
"Eritrea",232,"ERI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.239316239316239,0.705,0.771818181818182,0.8103125,0.631611730283605,0.153333333333333,0.122373259007994,0.239445185212557,0.356556084624194,0.128,0.564070123599044,0.692343007690078,0.301181790850067,0.7372351,0.985,0.582608695652174,0.76828126444911,0.567024927960569
"Estonia",233,"EST","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.96150998142,0.988663450574511,0.992173913043478,0.980782447365214,0.744873355450415
"Fiji",242,"FJI","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.381766381766382,0.6675,0.877777777777778,0.877777777777778,0.701205484330484,0.514666666666667,0.0582726864294459,0.175641766299628,0.262,0.244,0.508367568812383,0.659931191261948,0.367193318267092,0.75323510162,0.99,0.970434782608696,0.904556627171675,0.657651809265432
"Finland",246,"FIN","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.94,1,1,0.809432425213675,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.970935049,0.988663450574511,0.997391304347826,0.985663266988449,0.781434157722128
"France",250,"FRA","Western Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.97636502246,0.988663450574511,0.99304347826087,0.986023982779103,0.746620533919964
"French Guiana",254,"GUF","South America","Latin America and the Caribbean","Non-UNFPA Country",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.708185008,0.979435721707161,0.940623382020406,0.876081369699774,0.684492076429104
"French Polynesia",258,"PYF","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.381766381766382,0.6675,0.877777777777778,0.877777777777778,0.701205484330484,0.514666666666667,0.0582726864294459,0.175641766299628,0.262,0.244,0.508367568812383,0.659931191261948,0.367193318267092,0.80656,0.951235849056604,0.888718010695833,0.882171285701975,0.650190028782994
"Djibouti",262,"DJI","Eastern Africa","Sub-Saharan Africa","Arab States",0.335002047747146,0.705,0.771818181818182,0.8103125,0.655533182391332,0.612660822071641,0.122373259007994,0.239445185212557,0.356556084624194,0.329215866803216,0.564070123599044,0.692343007690078,0.441165646385046,0.90579503761,0.987,0.784347826086957,0.892380953673271,0.663026593486856
"Gabon",266,"GAB","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.335002047747146,0.75,0.22,0.48,0.446250511936786,0.684,0.122373259007994,0.481655223965364,0.361,0.298,0.46195900030975,0.563596508218324,0.457072998937679,0.5188648,0.889,0.780869565217391,0.729578121009552,0.544300543417039
"Georgia",268,"GEO","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.380952380952381,0.9,1,0.9,0.795238095238095,0.663327430972389,0.0721108755618755,0.212456375388281,0.0746671916010499,0.0542868820852934,0.8340519802158,0.922671287264443,0.43711243175769,0.7679600338,0.99542412465972,0.978260869565217,0.913881675094431,0.715410733314661
"Gambia",270,"GMB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.23015873015873,0.81,1,0.65,0.672539682539683,0.364,0.0755889805283164,0.156775651969344,0.182,0.224,0.686914558925342,0.891894963353935,0.368146769347117,0.609075025,0.911,0.480869565217391,0.666981529405482,0.569222659861538
"State of Palestine",275,"PSE","Western Asia","Northern Africa and Western Asia","Arab States",0.303703703703704,0.57,0.85,0.75,0.618425925925926,0.663327430972389,0.0721108755618755,0.212456375388281,0.0746671916010499,0.0542868820852934,0.8340519802158,0.922671287264443,0.43711243175769,0.73616986882,0.99542412465972,0.976521739130435,0.90270524330068,0.652747866342017
"Germany",276,"DEU","Western Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.68,0.85,1,0.706932425213675,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.9595249628,0.988663450574511,0.993913043478261,0.98070048463689,0.74561323030743
"Ghana",288,"GHA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.357142857142857,0.705,0.771818181818182,0.8103125,0.66106838474026,0.526666666666667,0.112060197575375,0.298223208411133,0.272,0.199,0.704790030656377,0.815172116949197,0.431822360865677,0.66694487824,0.9,0.732173913043478,0.766372929661453,0.619754557802709
"Kiribati",296,"KIR","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.381766381766382,0.6675,0.877777777777778,0.877777777777778,0.701205484330484,0.514666666666667,0.0582726864294459,0.175641766299628,0.262,0.244,0.508367568812383,0.659931191261948,0.367193318267092,0.91911492276,0.951235849056604,0.92,0.930116923008751,0.666171907869271
"Greece",300,"GRC","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.59,0.33,0.9,0.529432425213675,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.96388496896,0.988663450574511,0.997391304347826,0.983313240310799,0.687317482257028
"Grenada",308,"GRD","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.85411492828,0.979435721707161,0.978260869565217,0.937270505580189,0.704888455035513
"Guadeloupe",312,"GLP","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.922665106,0.979435721707161,0.940623382020406,0.947574735628281,0.708323198381442
"Guam",316,"GUM","Micronesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.381766381766382,0.6675,0.877777777777778,0.877777777777778,0.701205484330484,0.514666666666667,0.0582726864294459,0.175641766299628,0.262,0.244,0.508367568812383,0.659931191261948,0.367193318267092,0.84143502532,0.951235849056604,0.888718010695833,0.893796294130349,0.654065031588577
"Guatemala",320,"GTM","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.592592592592593,0.664545454545455,0.85,0.65,0.689284511784512,0.733333333333333,0.155184687566132,0.171647015189719,0.219,0.222,0.86468979320751,0.89176565963733,0.49886922778342,0.64535002345,0.995,0.917391304347826,0.852580441746695,0.680244726424631
